ling,yuan,xing 〇
sha,cha 㛼
xian 㛾
zhi 㛿
feng 㜂
lian 㜃
xun 㜄
xu 㜅
mi 㜆
hui,ye 㜇
mu 㜈
yong 㜉
zhan 㜊
yi 㜋
nou,kou,gou 㜌
tang 㜍
xi 㜎
yun 㜏
shu 㜐
fu 㜑
yi 㜒
da 㜓
lian 㜕
cao 㜖
can,sen 㜗
ju,qu,cha 㜘
lu 㜙
su 㜚
nen 㜛
ao 㜜
an,yan 㜝
qian,can 㜞
cui 㜠
cong 㜡
ran 㜣
nian,tian,tan 㜤
mai 㜥
xin 㜦
yue 㜧
nai 㜨
ao 㜩
shen 㜪
ma 㜫
lan 㜮
xi 㜯
yue 㜰
zhi 㜱
weng 㜲
huai 㜳
meng 㜴
niao 㜵
wan 㜶
mi,xian 㜷
nie 㜸
qu 㜹
zan 㜺
lian 㜻
zhi 㜼
zi 㜽
hai 㜾
xu 㜿
hao 㝀
qiong,xuan 㝁
zhe,zhi 㝂
mian 㝃
chun 㝄
gou 㝅
chun 㝇
luan 㝈
zhu 㝉
shou 㝊
liao 㝋
jiu 㝌
xie 㝍
ding 㝎
jie 㝏
rong 㝐
mang 㝑
ke 㝓
yao 㝔
ning 㝕
yi 㝖
lang 㝗
yong 㝘
yin 㝙
yan 㝚
su 㝛
lin 㝝
ya 㝞
mao 㝟
ming 㝠
zui 㝡
yu 㝢
yi 㝣
gou 㝤
mi 㝥
jun 㝦
wen 㝧
kang 㝩
dian 㝪
long 㝫
xing 㝭
cui 㝮
qiao 㝯
mian 㝰
meng 㝱
qin 㝲
wan 㝴
ai,de 㝵
ai 㝶
bian 㝸
nou 㝹
lian 㝺
jin 㝻
yu 㝼
chui 㝽
zuo 㝾
bo 㝿
hui 㞀
yao 㞁
tui 㞂
ji 㞃
an 㞄
luo 㞅
ji 㞆
wei 㞇
bo 㞈
za 㞉
xu 㞊
nian,ji 㞋
yun 㞌
ba,pa 㞎
zhe,jie 㞏
ju 㞐
wei 㞑
xi,xie 㞒
ji,qi 㞓
yi 㞔
xie 㞕
ci 㞖
qiu 㞗
du 㞘
niao 㞙
qi,zha 㞚
ji 㞛
tui 㞜
song 㞞
dian,ding 㞟
lao 㞠
zhan 㞡
yin,cen 㞤
cen 㞥
ji 㞦
hui 㞧
zi 㞨
lan 㞩
nao 㞪
ju 㞫
qin 㞬
dai 㞭
jie 㞯
xu 㞰
cong 㞱
yong 㞲
dou 㞳
chi,min 㞴
min 㞶
huang 㞷
sui 㞸
ke 㞹
zu 㞺
hao 㞻
cheng 㞼
xue 㞽
ni 㞾
chi 㞿
lian 㟀
an 㟁
mu 㟂
si 㟃
xiang 㟄
yang 㟅
hua 㟆
cuo 㟇
qiu 㟈
lao 㟉
fu 㟊
dui 㟋
mang 㟌
lang 㟍
tuo,tui 㟎
han 㟏
mang 㟐
bo 㟑
qun 㟒
qi 㟓
han 㟔
long 㟖
tiao 㟘
ze 㟙
qi 㟚
zan 㟛
mi 㟜
pei 㟝
zhan 㟞
xiang 㟟
gang 㟠
qi 㟢
lu 㟤
yun 㟦
e 㟧
duan 㟨
min 㟩
wei 㟪
quan 㟫
sou 㟬
min 㟭
tu 㟮
ming 㟰
yao 㟱
jue 㟲
li 㟳
kuai 㟴
gang 㟵
yuan 㟶
da 㟷
lao 㟹
lou 㟺
qian,zhan 㟻
ao 㟼
biao 㟽
yong 㟾
mang 㟿
dao 㠀
ao 㠂
xi 㠄
fu 㠅
dan 㠆
jiu 㠇
run 㠈
tong 㠉
qu 㠊
e 㠋
qi 㠌
ji 㠍
ji,jie 㠎
hua 㠏
jiao 㠐
zui 㠑
biao 㠒
meng 㠓
bai 㠔
wei 㠕
yi 㠖
ao 㠗
yu 㠘
hao 㠙
dui 㠚
wo 㠛
ni 㠜
cuan 㠝
li 㠟
lu 㠠
niao 㠡
huai 㠢
li 㠣
lv,lei 㠥
feng 㠦
mi 㠧
yu 㠨
ju 㠪
zhan 㠭
peng,gang 㠮
yi 㠯
ji,qi 㠱
bi 㠲
ren 㠴
huang 㠵
fan 㠶
ge 㠷
ku 㠸
jie 㠹
sha,miao 㠺
si 㠼
tong 㠽
yuan 㠾
ci,zi 㠿
bi 㡀
kua 㡁
li 㡂
huang 㡃
xun 㡄
nuo 㡅
zhe,jie 㡇
mian,wen,men 㡈
xian 㡉
qia 㡊
an,ye 㡋
mao 㡌
xu,shu,tou 㡏
jiao,qiao 㡑
zhun 㡒
kun 㡓
wu 㡔
ying 㡕
chuang 㡖
ti 㡗
lian,lin 㡘
bi 㡙
gou 㡚
mang 㡛
xue,xie 㡜
feng 㡝
lv,lou 㡞
zao 㡟
zheng 㡠
chu 㡡
man 㡢
long 㡣
yin 㡥
pin 㡦
zheng 㡧
qian,jian 㡨
luan 㡩
nie 㡪
yi 㡫
ji 㡭
ji 㡮
zhai,du,duo 㡯
yu 㡰
jiu 㡱
huan 㡲
zhi 㡳
la 㡴
ling 㡵
zhi 㡶
ben 㡷
cha,zha 㡸
ju 㡹
dan 㡺
liao 㡻
yi 㡼
zhao 㡽
xian 㡾
chi 㡿
ci 㢀
chi,shi 㢁
tui,yan,dui 㢂
lang 㢃
dou 㢄
long 㢅
chan 㢆
tui,dui 㢈
cha 㢉
ai,yi 㢊
chi 㢋
ying 㢍
zhe 㢎
yu,tou 㢏
tui 㢑
cha 㢒
yao 㢓
zong 㢔
ban,pan 㢖
qiao 㢗
lian 㢘
qin 㢙
lu 㢚
qian,yan 㢛
