ling,yuan,xing 〇
suo 莏
chen 莐
peng,feng 莑
ju 莒
mei 莓
xi,qing,meng 莔
xing 莕
jing,ying 莖
che 莗
xin,shen 莘
jun 莙
yan 莚
ting 莛
di,diao,you 莜
cuo 莝
wan,guan 莞
han 莟
xiu,you 莠
cuo 莡
jia 莢
wang 莣
su,you 莤
niu,rou 莥
shao,xiao 莦
wan,xian 莧
lang,liang 莨
piao,fu 莩
e 莪
mu,mo 莫
wan,mian,wen 莬
jie 莭
nan 莮
mu 莯
kan 莰
lai 莱
lian 莲
shi 莳
wo 莴
tu 莵
xian 莶
huo 获
you 莸
ying 莹
ying 莺
gong 莻
chun 莼
mang 莽
mang 莾
ci 莿
yu,wan,yun 菀
jing 菁
di 菂
qu 菃
dong 菄
guan,jian 菅
cuan,chu,cong,zou 菆
gu 菇
la 菈
lv,lu 菉
ju 菊
wei 菋
jun 菌
ren,nie 菍
kun 菎
he,ge 菏
pu 菐
zai,zi 菑
gao 菒
guo 菓
fu 菔
lun 菕
chang 菖
chou 菗
song 菘
chui 菙
zhan 菚
men 菛
cai 菜
ba 菝
li 菞
tu 菟
bo 菠
han 菡
bao 菢
qin 菣
juan 菤
xi,si 菥
qin 菦
di 菧
sha,jie 菨
bei,pu,bo 菩
dang 菪
jin 菫
qiao,zhao 菬
chi,tai,zhi 菭
geng 菮
hua,kua 華
gu 菰
ling 菱
fei 菲
jin,qin 菳
an,yan 菴
wang 菵
beng 菶
zhou 菷
yu,yan 菸
ju,zu 菹
jian 菺
lin 菻
tan 菼
shu,jiao 菽
tian 菾
dao 菿
hu 萀
ji,qi 萁
he 萂
cui 萃
tao 萄
chun 萅
pi,bei,bi,ba 萆
chang 萇
huan 萈
fu,fei 萉
lai 萊
qi 萋
meng,ming 萌
ping 萍
wei 萎
dan 萏
sha 萐
zhui,huan 萑
yan,juan 萒
yi 萓
tiao 萔
qi 萕
wan 萖
ce 萗
nai 萘
zhen 萙
tuo 萚
jiu 萛
tie 萜
luo 萝
bi 萞
yi 萟
pan 萠
bo 萡
pao 萢
ding 萣
ying 萤
ying 营
ying 萦
xiao 萧
sa 萨
jiao,qiu 萩
ke 萪
xiang 萫
wan 萬
ju,yu 萭
yu 萮
fu,bei 萯
lian 萰
xuan 萱
xuan 萲
nan 萳
ce 萴
wo 萵
chun 萶
shao,shuo,xiao 萷
yu 萸
pian,bian 萹
mu,mao 萺
an 萻
e 萼
luo,la,lao 落
ying 萾
kuo,huo 萿
kuo 葀
jiang 葁
mian 葂
zuo,ze 葃
zuo 葄
zu 葅
bao 葆
rou 葇
xi 葈
ye,she 葉
an 葊
qu 葋
jian 葌
fu 葍
lv 葎
jing 葏
fen,pen 葐
feng 葑
hong 葒
hong 葓
hou 葔
yan 葕
tu 葖
zhuo,zhe,chu,zhao,zhu 著
zi 葘
xiang 葙
ren,shen 葚
ge 葛
qia 葜
qing,jing 葝
mi 葞
huang 葟
shan,shen 葠
bei,pu 葡
gai 葢
dong,zhong 董
zhou 葤
qian,jian 葥
wei 葦
bo 葧
wei 葨
pa 葩
ji 葪
hu 葫
zang 葬
jia,xia 葭
duan 葮
yao 葯
jun,sui,suo 葰
chuang,cong 葱
quan 葲
wei 葳
qian,zhen 葴
kui 葵
ding,ting 葶
xun,hun 葷
xi 葸
shi 葹
qi 葺
lan 葻
zong 葼
yao 葽
yuan 葾
mei 葿
yun 蒀
shu 蒁
di 蒂
zhuan 蒃
guan 蒄
ran 蒅
xue 蒆
chan 蒇
kai 蒈
kui 蒉
hua 蒊
jiang 蒋
lou 蒌
wei,hua,e,kui 蒍
pai 蒎
you 蒏
hui,sou 蒐
yin 蒑
shi 蒒
chun 蒓
shi 蒔
yun 蒕
zhen 蒖
lang 蒗
na,ru 蒘
meng 蒙
li 蒚
que 蒛
suan 蒜
yuan,huan 蒝
li 蒞
ju 蒟
xi 蒠
bang,pang 蒡
chu 蒢
xu,shu 蒣
tu 蒤
liu 蒥
huo,wo 蒦
dian 蒧
qian 蒨
ju,zu,ji 蒩
po 蒪
cuo 蒫
yuan 蒬
chu 蒭
yu 蒮
kuai 蒯
pan 蒰
pu 蒱
pu,bo 蒲
na 蒳
shuo 蒴
xi 蒵
fen 蒶
yun 蒷
zheng 蒸
jian 蒹
ji 蒺
ruo 蒻
cang 蒼
en 蒽
mi 蒾
hao,gao 蒿
sun 蓀
qin,zhen 蓁
mi,ming 蓂
sou 蓃
xu 蓄
liu 蓅
xi 蓆
gu 蓇
lang 蓈
rong 蓉
weng 蓊
gai,ge 蓋
cuo 蓌
shi 蓍
tang 蓎
luo 蓏
ru 蓐
sui,suo 蓑
xuan 蓒
bei 蓓
zhuo,yao 蓔
gui 蓕
bi 蓖
zong 蓗
gun 蓘
zuo 蓙
tiao 蓚
ce 蓛
pei 蓜
lan,la 蓝
dan 蓞
ji 蓟
li 蓠
shen 蓡
lang 蓢
yu 蓣
ling 蓤
ying 蓥
mo 蓦
di,diao,tiao 蓧
xiu,tiao 蓨
mao 蓩
tong 蓪
chu,zhu 蓫
peng 蓬
an 蓭
lian 蓮
song,zong,cong 蓯
xi 蓰
ping 蓱
fu,xu,qiu,ou 蓲
jin 蓳
chun,tuan 蓴
jie 蓵
wei 蓶
tui 蓷
cao 蓸
yu 蓹
yi 蓺
ju,zi 蓻
liu,lu,liao,lao 蓼
bi 蓽
lu 蓾
xu,su 蓿
bu 蔀
zhang 蔁
lei 蔂
qiang,jiang 蔃
man 蔄
yan 蔅
ling 蔆
ji,xi 蔇
piao,biao 蔈
gun 蔉
han 蔊
di 蔋
su 蔌
lu,cu 蔍
she 蔎
shang 蔏
di 蔐
mie 蔑
xun 蔒
wan,man 蔓
bo 蔔
chai,di,dai 蔕
cuo,cu,zha 蔖
zhe 蔗
san,shen 蔘
xuan 蔙
yu,wei 蔚
hu 蔛
ao 蔜
mi 蔝
ju,liu,lv,lou 蔞
chuo,cu,cou 蔟
zhong 蔠
sa,ca,cai 蔡
po,bo 蔢
jiang 蔣
mi 蔤
cong 蔥
niao 蔦
hui 蔧
jun,juan 蔨
yin 蔩
shan,jian 蔪
nian,yan 蔫
shu 蔬
yin 蔭
guo 蔮
chen 蔯
hu 蔰
sha 蔱
kou 蔲
qian 蔳
ma 蔴
zang,cang 蔵
ze 蔶
qiang 蔷
dou 蔸
lian 蔹
lin 蔺
kou 蔻
ai 蔼
bi,bie,pie 蔽
li 蔾
wei 蔿
ji 蕀
qian,xun,tan 蕁
sheng 蕂
pi,fan,bo 蕃
meng 蕄
ou 蕅
chan 蕆
dian 蕇
xun,tan 蕈
jiao,qiao 蕉
rui,juan 蕊
rui 蕋
lei 蕌
yu 蕍
jiao,qiao 蕎
chu 蕏
hua 蕐
jian 蕑
mai 蕒
yun 蕓
bao 蕔
you 蕕
qu 蕖
lu 蕗
rao,yao 蕘
hui 蕙
e 蕚
ti 蕛
fei 蕜
zui,jue 蕝
zhuo,zui,jue 蕞
fa,fei 蕟
ru 蕠
fei,fen 蕡
kui,kuai 蕢
shun 蕣
rui 蕤
ya 蕥
xu 蕦
fu 蕧
jue 蕨
dang,tang 蕩
wu 蕪
dong 蕫
si 蕬
xiao 蕭
xi 蕮
long 蕯
yun,wen 蕰
shao 蕱
qi 蕲
jian 蕳
yun 蕴
sun 蕵
ling 蕶
yu 蕷
xia 蕸
weng,yong 蕹
ji,qie 蕺
hong 蕻
si 蕼
nong 蕽
lei 蕾
xuan 蕿
yun 薀
yu 薁
xi,xiao 薂
hao 薃
bu,bao,bo 薄
hao 薅
ai 薆
wei 薇
hui 薈
hui 薉
ji 薊
ci,zi 薋
xiang 薌
wan,luan 薍
mie 薎
yi 薏
leng 薐
jiang 薑
can 薒
shen 薓
qiang,se 薔
lian 薕
ke 薖
yuan 薗
da 薘
zhi,ti 薙
tang 薚
xue 薛
pi,bi,bo,bai 薜
zhan 薝
sun 薞
lian,kan,yan,xian 薟
fan 薠
ding 薡
xie 薢
gu 薣
xie 薤
shu,zhu 薥
jian 薦
hao,kao 薧
hong 薨
sa 薩
xin 薪
xun 薫
yao 薬
bai 薭
sou 薮
shu 薯
xun 薰
dui 薱
pin 薲
wei,yuan 薳
ning 薴
dao,zhou,chou 薵
mai,wo 薶
ru 薷
piao 薸
tai 薹
ji,ci,qi 薺
zao 薻
chen 薼
zhen 薽
er 薾
ni 薿
ying 藀
gao 藁
cong 藂
hao,xiao,he 藃
qi 藄
fa 藅
jian 藆
xu,yu 藇
kui 藈
ji,jie 藉
bian 藊
zhuo,di,diao 藋
mi 藌
lan,la 藍
jin 藎
zang,cang 藏
mo,miao 藐
qiong 藑
qie 藒
xian 藓
liao 藔
ou 藕
qian,xian 藖
su 藗
lv 藘
yi 藙
xu 藚
xie 藛
li 藜
yi 藝
la 藞
lei 藟
jiao 藠
di 藡
zhi 藢
bei 藣
teng 藤
lve,shuo,yao 藥
mo 藦
huan 藧
pao,biao 藨
fan 藩
shu,sou,cou 藪
tan 藫
tui 藬
qiong 藭
qiao 藮
wei 藯
liu 藰
hui 藱
ou 藲
gao 藳
yun,wen 藴
bao 藵
li 藶
shu,zhu 藷
chu,zha,zhu 藸
ai 藹
lin 藺
zao 藻
xuan 藼
qin 藽
lai 藾
huo,he 藿
tuo,ze 蘀
e,wu 蘁
rui 蘂
rui 蘃
ji,qin,qi 蘄
heng 蘅
lu 蘆
su 蘇
tui 蘈
mang,meng 蘉
yun 蘊
pin,ping 蘋
yu 蘌
xun 蘍
ji 蘎
jiong 蘏
xuan 蘐
mo 蘑
qiu 蘒
su 蘓
jiong 蘔
peng 蘕
nie,bo 蘖
bi,bo 蘗
nang,xiang,rang 蘘
yi 蘙
xian 蘚
yu 蘛
ju 蘜
lian 蘝
lian,xian 蘞
yin 蘟
qiang 蘠
ying 蘡
long 蘢
tou 蘣
hua 蘤
yue 蘥
ling 蘦
ju,qu 蘧
yao 蘨
fan 蘩
mei 蘪
lan,han 蘫
hui,gui,kui 蘬
lan 蘭
ji 蘮
dang 蘯
man 蘰
lei 蘱
lei 蘲
hui 蘳
song,feng 蘴
zhi 蘵
wei 蘶
kui 蘷
zhan 蘸
huai 蘹
li 蘺
ji 蘻
mi 蘼
lei 蘽
huai 蘾
luo 蘿
ji 虀
kui 虁
lu 虂
jian 虃
sa 虄
teng 虅
lei 虆
quan 虇
xiao 虈
yi 虉
luan 虊
men 虋
bie 虌
hu 虍
hu 虎
lu 虏
nve 虐
lv,bi 虑
xi,zhi,ti,si 虒
xiao 虓
qian 虔
ju,chu 處
hu 虖
xu 虗
cuo 虘
fu 虙
xu 虚
xu 虛
lu 虜
hu 虝
yu 虞
hao 號
jiao,hao 虠
ju 虡
guo 虢
bao 虣
yan 虤
zhan 虥
zhan 虦
kui 虧
bin 虨
se,xi 虩
shu 虪
chong,hui 虫
qiu 虬
diao,dao 虭
ji 虮
qiu 虯
ding,cheng 虰
shi 虱
xia 虲
jue 虳
zhe 虴
ye,she 虵
yu 虶
gan,han 虷
zi 虸
hong,gong,jiang 虹
hui 虺
meng 虻
ge 虼
sui 虽
ha,xia 虾
chai 虿
shi 蚀
yi 蚁
ma 蚂
xiang 蚃
bang,fang 蚄
e 蚅
ba 蚆
chi 蚇
qian 蚈
wen 蚉
wen 蚊
rui 蚋
bang,pi,feng,beng 蚌
pi 蚍
yue 蚎
yue 蚏
jun 蚐
qi 蚑
tong 蚒
yin 蚓
zhi,qi 蚔
tian,can 蚕
wan,yuan 蚖
que,jue 蚗
hui,you 蚘
qian,qin 蚙
qi 蚚
zhong 蚛
ya 蚜
ci,hao 蚝
mu 蚞
wang 蚟
fen 蚠
fen 蚡
hang 蚢
zhong,gong 蚣
zhao,zao 蚤
fu 蚥
ran 蚦
jie 蚧
fu 蚨
chi 蚩
dou 蚪
pao,bao 蚫
xian 蚬
ni 蚭
dai 蚮
qiu 蚯
you,zhu 蚰
zha 蚱
ping 蚲
chi,di 蚳
niu,you 蚴
ke,he 蚵
han 蚶
ju 蚷
li 蚸
fu 蚹
tian,ran 蚺
zha 蚻
xu,qu,gou 蚼
pi 蚽
pi,bo 蚾
xian 蚿
zhu 蛀
diao 蛁
bie 蛂
bing 蛃
gu 蛄
zhan 蛅
ju,qu 蛆
chi,tuo,yi,she 蛇
tie 蛈
ling 蛉
gu 蛊
dan 蛋
gu 蛌
ying 蛍
li 蛎
cheng 蛏
qu 蛐
mou,mao 蛑
luo,ge 蛒
ci 蛓
hui 蛔
hui 蛕
bang,mang 蛖
fu 蛗
yang 蛘
wa,jue 蛙
lie 蛚
zhu 蛛
yi 蛜
xian 蛝
kuo,she 蛞
jiao 蛟
li 蛠
xu,yi 蛡
ping 蛢
qi,jie,qie 蛣
ha,e,ge 蛤
she 蛥
yi 蛦
wang 蛧
mo 蛨
qiong,gong 蛩
qie,ni 蛪
gui 蛫
qiong 蛬
zhi 蛭
man 蛮
lao 蛯
zhe 蛰
jia 蛱
nao 蛲
si 蛳
qi 蛴
xing 蛵
jie 蛶
qiu 蛷
shao,xiao 蛸
yong 蛹
jia 蛺
tui 蛻
che 蛼
bei 蛽
yi,e 蛾
han 蛿
shu 蜀
xuan 蜁
feng 蜂
shen 蜃
zhen,shen 蜄
fu,pu 蜅
xian 蜆
zhe 蜇
wu 蜈
fu 蜉
li 蜊
lang,liang 蜋
bi 蜌
yu,chu 蜍
xuan,yuan 蜎
you 蜏
jie 蜐
dan 蜑
dan,yan 蜒
dian,ting 蜓
dian 蜔
yue,tui 蜕
hui 蜖
wo 蜗
zhi 蜘
song 蜙
bei,pei,fei 蜚
ju 蜛
mi 蜜
qi 蜝
qi 蜞
yu 蜟
jun 蜠
qu,ji,la,zha 蜡
meng 蜢
qiang 蜣
xi,si 蜤
xi 蜥
lun 蜦
li 蜧
die 蜨
diao,tiao 蜩
tao 蜪
kun 蜫
han 蜬
han 蜭
yu,guo 蜮
bang 蜯
fei 蜰
pi,miao 蜱
wei 蜲
dun,tun 蜳
yi,xi 蜴
yuan,yun 蜵
suo 蜶
quan,juan 蜷
qian 蜸
wei,rui 蜹
ni 蜺
qing,jing 蜻
wei,tong 蜼
liang 蜽
guo,luo 蜾
wan 蜿
dong 蝀
e 蝁
ban 蝂
zhuo,di 蝃
wang 蝄
can 蝅
yang 蝆
ying 蝇
guo 蝈
chan 蝉
ding 蝊
la 蝋
ke 蝌
ji,jie 蝍
xie,he 蝎
ting 蝏
mao 蝐
xu,xie 蝑
mian 蝒
yu 蝓
jie 蝔
li,shi,long 蝕
xuan 蝖
huang 蝗
yan 蝘
pian,bian 蝙
nao,rou 蝚
wei 蝛
fu 蝜
yuan 蝝
mei 蝞
wei 蝟
fu 蝠
ruan,ru 蝡
xie 蝢
you 蝣
qiu,jiu,you 蝤
mao,wu 蝥
ha,xia,jia 蝦
ying 蝧
shi 蝨
chong,zhong 蝩
tang 蝪
zhu 蝫
zong 蝬
chi,ti 蝭
fu 蝮
yuan 蝯
kui 蝰
meng 蝱
la 蝲
dai,du 蝳
hu 蝴
qiu 蝵
die,tie 蝶
li,xi 蝷
guo,luo,wo 蝸
ao,yun 蝹
yu,qu 蝺
nan 蝻
lou 蝼
chun 蝽
rong 蝾
ying 蝿
jiang 螀
ban 螁
lang 螂
bang,pang 螃
si 螄
xi,ci 螅
ci 螆
xi,qi 螇
yuan 螈
weng 螉
lian 螊
sou 螋
ban,pan,huan 螌
rong 融
rong 螎
ji 螏
wu 螐
xiu 螑
han 螒
qin 螓
yi,si 螔
pi,bi 螕
hua 螖
tang 螗
yi 螘
du 螙
nai,neng 螚
he,xia 螛
hu 螜
hui,gui 螝
ma 螞
ming 螟
yi 螠
wen 螡
ying 螢
te,teng 螣
zhong 螤
cang 螥
sao 螦
qi 螧
man 螨
tiao 螩
shang 螪
shi 螫
cao 螬
chi 螭
di,dai 螮
ao 螯
lu 螰
wei 螱
die,zhi 螲
tang 螳
chen 螴
piao 螵
ju,qu 螶
pi 螷
yu 螸
jian,chan 螹
luo 螺
lou 螻
qin 螼
zhong 螽
yin 螾
jiang 螿
shuai 蟀
wen 蟁
xiao 蟂
wan 蟃
zhe 蟄
zhe 蟅
ma,mo 蟆
ma 蟇
yu,guo 蟈
liu,liao 蟉
mao,meng 蟊
xi 蟋
cong 蟌
li 蟍
man 蟎
xiao 蟏
chang 蟐
zhang 蟑
mang,meng 蟒
xiang 蟓
mo 蟔
zui 蟕
si 蟖
qiu 蟗
te 蟘
zhi 蟙
peng 蟚
peng 蟛
jiao,qiao 蟜
qu 蟝
bie 蟞
liao 蟟
fan,pan 蟠
gui 蟡
xi 蟢
ji,qi 蟣
zhuan 蟤
huang 蟥
fei,ben 蟦
liao,lao 蟧
jue 蟨
jue 蟩
hui 蟪
yin,xun 蟫
shan,chan,ti 蟬
jiao 蟭
shan 蟮
nao,rao 蟯
xiao 蟰
mou,wu 蟱
chong,zhong,tong 蟲
xun 蟳
si 蟴
chu 蟵
cheng 蟶
dang 蟷
li 蟸
xie 蟹
shan,tuo,dan,chan 蟺
ji,yi 蟻
jing 蟼
da 蟽
chan 蟾
ji,qi 蟿
ji,ci 蠀
xiang 蠁
she 蠂
guo,luo 蠃
qin 蠄
ying 蠅
chai 蠆
li 蠇
zei 蠈
xuan 蠉
lian 蠊
zhu 蠋
ze 蠌
xie 蠍
mang 蠎
xie 蠏
qi 蠐
rong 蠑
jian 蠒
meng 蠓
hao 蠔
ru 蠕
huo,yue 蠖
zhuo 蠗
jie 蠘
pin 蠙
he 蠚
mie 蠛
fan 蠜
lei 蠝
jie 蠞
la 蠟
min,mian 蠠
li,luo 蠡
chun 蠢
li 蠣
qiu 蠤
nie 蠥
lu 蠦
du 蠧
xiao 蠨
chu,zhu 蠩
long 蠪
li 蠫
long 蠬
feng,pang 蠭
ye 蠮
pi 蠯
nang,rang,shang 蠰
gu,ye 蠱
juan 蠲
ying 蠳
shu 蠴
xi 蠵
can 蠶
qu 蠷
quan,huan 蠸
du 蠹
can 蠺
man 蠻
qu,jue 蠼
jie 蠽
shu,zhu 蠾
zhuo 蠿
xue,xie 血
huang 衁
nv 衂
pei,fou 衃
nv 衄
xin 衅
zhong 衆
mai 衇
er 衈
ka 衉
mie 衊
xi 衋
heng,xing,hang 行
yan 衍
kan 衎
yuan 衏
qu 衐
ling 衑
xuan 衒
shu 術
xian 衔
dong,tong 衕
xiang,long 衖
jie 街
yu,xian 衘
ya,yu 衙
hu 衚
wei 衛
dao 衜
chong 衝
wei 衞
dao 衟
zhun 衠
heng 衡
qu 衢
yi 衣
yi 衤
bu 补
gan 衦
yu 衧
biao 表
cha 衩
yi 衪
shan 衫
chen 衬
fu 衭
gun 衮
fen,pen 衯
shuai,cui,suo 衰
jie 衱
na 衲
zhong 衳
dan 衴
yi 衵
zhong 衶
zhong 衷
jie 衸
zhi,ti,qi 衹
xie 衺
ran 衻
zhi 衼
ren 衽
qin 衾
jin,qin 衿
jun 袀
yuan 袁
yi,mei 袂
chai 袃
ao 袄
niao 袅
hui 袆
ran 袇
jia 袈
tuo 袉
ling 袊
dai 袋
pao,bao 袌
pao,bao 袍
yao 袎
zuo 袏
bi 袐
shao 袑
zhan,tan 袒
ju,jie 袓
ke,kua,he 袔
xue 袕
xiu 袖
zhen 袗
tuo,yi 袘
pa 袙
fu,bo 袚
di 袛
mo,wa 袜
fu 袝
gun 袞
zhi 袟
zhi 袠
ran 袡
fan,pan 袢
yi 袣
mou,mao 袤
tuo 袥
na,jue 袦
gou 袧
xuan 袨
zhe,chan 袩
qu 袪
pi,bei,bi 被
yu 袬
xi 袭
mi 袮
bo 袯
bo 袰
fu 袱
chi,nuo 袲
chi,nuo,qi,duo 袳
ku 袴
ren 袵
jiang 袶
jie,jia,qia 袷
zun,jian 袸
mo,bo 袹
jie 袺
er 袻
luo,ge 袼
ru 袽
zhu 袾
gui,gua 袿
yin 裀
cai 裁
lie 裂
ka 裃
xing 裄
zhuang 装
dang 裆
xu 裇
kun 裈
ken 裉
niao 裊
shu 裋
jia,xie 裌
kun 裍
cheng 裎
li 裏
juan 裐
shen 裑
bao,pou 裒
jie,ge 裓
yi 裔
yu 裕
zhen 裖
liu 裗
qiu 裘
qun 裙
ji 裚
yi 裛
bu 補
zhuang 裝
shui 裞
sha 裟
qun 裠
li 裡
shao,lian 裢
lian 裣
ku 裤
jian 裥
fou 裦
chan,tan 裧
pi,bi 裨
kun 裩
tao 裪
yuan 裫
ling 裬
chi 裭
chang 裮
dao,chou 裯
duo 裰
biao 裱
liang 裲
chang,shang 裳
pei,fei 裴
pei 裵
fei 裶
gun,yuan 裷
luo 裸
guo 裹
an,yan 裺
du 裻
xi,ti 裼
zhi 製
ju 裾
yi,qi 裿
qi 褀
guo 褁
gua 褂
ken 褃
qi 褄
ti 褅
ti,shi 褆
fu 複
chong,zhong 褈
xie 褉
pian,bian 褊
die 褋
kun 褌
duan,tuan 褍
xiu,you 褎
xiu 褏
he 褐
yuan 褑
bao 褒
bao 褓
fu 褔
yu,tou 褕
tuan 褖
yan 褗
hui,yi 褘
bei 褙
zhe,chu,zhu 褚
lv 褛
pao 褜
dan 褝
yun,wen 褞
ta 褟
gou 褠
da 褡
huai 褢
rong 褣
yuan 褤
ru,nu 褥
nai 褦
jiong 褧
cha,suo 褨
ban,pan 褩
tui,tun 褪
chi 褫
sang 褬
niao 褭
ying 褮
jie 褯
qian 褰
huai 褱
ku 褲
lian 褳
lan 褴
li 褵
die,xi,zhe 褶
shi 褷
lv 褸
nie,yi 褹
die 褺
xie 褻
xian 褼
wei 褽
biao 褾
cao 褿
ji 襀
qiang 襁
shan,sen 襂
bao,pou 襃
xiang 襄
bi 襅
fu,pu 襆
jian 襇
zhuan,juan 襈
jian 襉
cuo,cui 襊
ji 襋
dan 襌
za 襍
fan,bo 襎
fei,bo 襏
xiang 襐
xin 襑
bie 襒
rao 襓
man 襔
lan 襕
ao 襖
yi,ze,duo 襗
hui,gui 襘
cao 襙
sui 襚
nong 襛
dan,chan 襜
lian,chan 襝
bi 襞
jin 襟
dang 襠
shu,du 襡
zhan,chan,tan 襢
bi 襣
lan 襤
fu 襥
ru 襦
zhi 襧
dui 襨
shu 襩
wa 襪
shi 襫
bei,bai 襬
xie 襭
bo 襮
chen 襯
lai 襰
long 襱
xi 襲
shan,xian 襳
lan 襴
zhe 襵
dai 襶
ju 襷
cuan,zan 襸
shi 襹
jian 襺
pan 襻
yi 襼
lan 襽
ya 襾
xi 西
xi 覀
yao 要
feng,ban 覂
yan,qin,tan 覃
fu 覄
fiao 覅
fu 覆
ba 覇
he 覈
ji 覉
ji 覊
jian,xian 見
guan 覌
bian 覍
yan 覎
xu,gui 規
jue 覐
pian 覑
mao 覒
mi 覓
mi 覔
mie,pie 覕
shi 視
si 覗
ji,dan,chan 覘
luo 覙
jue 覚
mi 覛
tiao 覜
lian 覝
yao 覞
zhi 覟
jun 覠
xi 覡
shan 覢
wei 覣
xi 覤
tian 覥
yu 覦
lan 覧
e 覨
du 覩
qing,qin 親
pang 覫
ji 覬
ming 覭
ying 覮
gou 覯
qu 覰
zhan 覱
jin 覲
guan 観
deng 覴
jian,bian 覵
luan,luo 覶
qu 覷
jian 覸
wei 覹
jiao,jue 覺
qu 覻
luo 覼
lan 覽
shen 覾
ji,di 覿
guan 觀
jian,xian 见
guan 观
yan 觃
gui 规
mi 觅
shi 视
chan 觇
lan 览
jiao,jue 觉
ji 觊
xi 觋
di 觌
tian 觍
yu 觎
gou 觏
jin 觐
qu 觑
lu,gu,jiao,jue 角
qiu 觓
jin 觔
cheng,cu,chu 觕
gui,kui,jue 觖
zhi 觗
chao 觘
ji 觙
gu 觚
dan 觛
zui,zi 觜
di,zhi 觝
shang 觞
hua,xie 觟
quan 觠
ge 觡
shi 觢
jie,xie 解
gui 觤
gong 觥
chu 触
jie 觧
hun 觨
qiu 觩
xing 觪
su 觫
ni 觬
ji,qi 觭
lu 觮
zhi 觯
da,zha 觰
bi 觱
xing 觲
hu,que,jue 觳
shang 觴
gong 觵
zhi 觶
hu,xue 觷
chu 觸
xi 觹
yi 觺
lu,li 觻
jue 觼
xi 觽
yan 觾
wei,xi 觿
yin,yan 言
yan 訁
ding 訂
fu 訃
qiu,kao 訄
qiu 訅
jiao 訆
jun,hong,heng 訇
ji 計
fan 訉
xun 訊
diao 訋
hong 訌
chai,cha 訍
tao 討
xu 訏
ji,jie 訐
tuo,yi,dan,shi 訑
ren 訒
xun 訓
yin 訔
shan 訕
qi 訖
tuo 託
ji 記
xun 訙
yin 訚
e 訛
bin,fen 訜
ya 訝
yao 訞
song 訟
shen 訠
yin 訡
yin,xin,xi 訢
jue 訣
na,xiao 訤
ne 訥
chen 訦
you 訧
zhi 訨
xiong 訩
fang 訪
xin 訫
miao,chao 訬
she 設
yan 訮
sa 訯
zhun 訰
xu,hu 許
yi 訲
yi 訳
su 訴
chi 訵
he 訶
shen 訷
he 訸
xu 訹
zhen 診
zhu 註
zheng 証
gou 訽
zi 訾
zi 訿
dian,tie,zhan,che 詀
gu 詁
fu 詂
jian 詃
die 詄
ling 詅
di,ti 詆
yang 詇
li 詈
na,nao,nu 詉
pan 詊
zhou 詋
gan 詌
yi 詍
ju 詎
yao 詏
zha 詐
tuo,yi,xi,duo 詑
yi,tai,dai 詒
qu 詓
zhao 詔
ping 評
bi 詖
xiong 詗
qu,chu 詘
ba,bo 詙
da 詚
zu 詛
tao 詜
zhu 詝
ci 詞
zhe 詟
yong 詠
xu 詡
xun 詢
yi 詣
huang 詤
he,ge 詥
shi 試
cha,qie 詧
xiao 詨
shi 詩
hen 詪
cha,du 詫
gou,hou 詬
gui 詭
quan 詮
hui 詯
jie 詰
hua 話
gai 該
xiang,yang 詳
wei 詴
shen 詵
zhou,chou 詶
dong,tong 詷
mi 詸
dan,zhan 詹
ming 詺
lve,e,luo 詻
hui 詼
yan 詽
xiong 詾
gua 詿
chi,er 誀
bing 誁
diao,tiao 誂
chi,yi,duo 誃
lei 誄
zhu 誅
kuang 誆
qu,kua 誇
wu 誈
yu 誉
teng 誊
ji 誋
zhi 誌
ren 認
cu 誎
lang 誏
e 誐
kuang 誑
ei,xi,yi,ế,ē,ề,ě 誒
shi 誓
ting 誔
dan 誕
bei 誖
chan 誗
you 誘
keng 誙
qiao 誚
qin 誛
shua 誜
an 誝
yu 語
xiao 誟
cheng 誠
jie 誡
xian 誢
wu 誣
wu 誤
gao 誥
song 誦
bu 誧
hui 誨
jing 誩
shuo 說
zhen 誫
tuo,shuo,shui,yue 説
du 読
hua 誮
chang 誯
shei,shui 誰
jie 誱
ke 課
qu,jue 誳
cong 誴
xiao 誵
sui 誶
wang 誷
xian 誸
fei 誹
lai,chi 誺
ta 誻
yi 誼
na,ni 誽
yin 誾
diao,zhou,tiao 調
pi,bei 諀
zhuo 諁
chan 諂
chen 諃
zhun 諄
ji 諅
qi 諆
tan 談
zhui 諈
wei 諉
ju 諊
qing 請
dong 諌
zheng 諍
zuo,cuo,ze,zha,jie 諎
zou,zhou 諏
qian 諐
zhuo 諑
liang 諒
jian 諓
ji,chu 諔
huo,hao,xia 諕
lun 論
nie,shen 諗
biao 諘
hua 諙
pian 諚
yu 諛
die,xie 諜
xu 諝
pian 諞
di,shi 諟
xuan 諠
shi 諡
hun 諢
hua,gua 諣
e 諤
zhong 諥
di,ti 諦
xie 諧
fu 諨
pu 諩
ting 諪
lan,jian 諫
qi 諬
yu,tou 諭
zi 諮
zhuan 諯
ai,xi,shai 諰
hui 諱
yin 諲
an,tou 諳
gan,xian 諴
nan 諵
chen 諶
feng 諷
chu,zhu 諸
yang 諹
yan 諺
huang 諻
xuan 諼
ge 諽
nuo 諾
xu,qi 諿
mou 謀
ai,ye 謁
wei 謂
xing 謃
teng 謄
zhou,chou,chao 謅
shan 謆
jian 謇
po,pao 謈
gui,tui,dui,kui 謉
huang 謊
huo 謋
