líng,yuán,xīng 〇
pēi,bǐ 㚰
qiū 㚱
chān,diǎn,diàn 㚲
bù 㚴
dōng 㚵
sì,yí 㚶
ěr 㚷
mǎo,liǔ 㚹
yùn 㚺
jī 㚻
qiǎo 㚽
xiōng 㚾
páo 㚿
chú 㛀
pēng 㛁
nuǒ 㛂
jié 㛃
yī 㛄
èr 㛅
duò,duǒ 㛆
duǒ 㛊
qiè,xiǎn,xiá 㛍
lǚ 㛎
qiú 㛏
sǒu 㛐
càn 㛑
dòu 㛒
xī 㛓
fēng,péng 㛔
yì,è 㛕
suō 㛖
qiē,zuō,suō 㛗
pò 㛘
xīn,qiè 㛙
tǒng,yǒng 㛚
xìn 㛛
yóu 㛜
bèi 㛝
lòng 㛞
yún 㛣
lí 㛤
tà 㛥
lǎn 㛦
mǎn 㛧
qiǎng 㛨
zhóu 㛩
yàn,yān 㛪
xī 㛫
lù 㛬
xī 㛭
sǎo 㛮
fàn,miǎn,zhuàn 㛯
wěi,wēi 㛱
fà 㛲
yì 㛳
nǎo 㛴
chēng 㛵
tàn 㛶
jī 㛷
shù 㛸
pián 㛹
ān 㛺
kuā 㛻
chā,shà 㛼
xián 㛾
zhì 㛿
fēng 㜂
liàn 㜃
xún 㜄
xù 㜅
mì 㜆
huì,yè 㜇
mù 㜈
yōng 㜉
zhǎn 㜊
yì 㜋
nǒu,gòu,kòu 㜌
táng 㜍
xī,xì 㜎
yún 㜏
shù 㜐
fú 㜑
yì 㜒
dá 㜓
lián 㜕
cáo 㜖
cān,sēn 㜗
jù,qù,chá 㜘
lù 㜙
sù 㜚
nèn 㜛
ào 㜜
ǎn,yǎn 㜝
qiàn,cán 㜞
cuī 㜠
cōng 㜡
rán,rǎn 㜣
niǎn,tiǎn,tán 㜤
mái 㜥
xín 㜦
yuè 㜧
nái 㜨
ào 㜩
shēn 㜪
mà 㜫
làn,lán 㜮
xī 㜯
yuè 㜰
zhì 㜱
wěng 㜲
huái 㜳
mèng 㜴
niǎo 㜵
wǎn 㜶
mí,xiǎn 㜷
niè 㜸
qú 㜹
zàn 㜺
liàn 㜻
zhí 㜼
zǐ 㜽
hái 㜾
xù 㜿
hào 㝀
xuān,qióng 㝁
zhì,zhè 㝂
miǎn 㝃
chún 㝄
gòu 㝅
chún 㝇
luán 㝈
zhù 㝉
shǒu 㝊
liǎo 㝋
jiù 㝌
xiě 㝍
dìng 㝎
jiè 㝏
róng 㝐
máng 㝑
kè 㝓
yǎo 㝔
níng 㝕
yí 㝖
láng,lǎng 㝗
yóng 㝘
yín 㝙
yán 㝚
sù 㝛
lín 㝝
yā,yà 㝞
máo 㝟
míng 㝠
zuì 㝡
yǔ 㝢
yì 㝣
gòu 㝤
mǐ 㝥
jùn 㝦
wěn 㝧
kāng 㝩
diàn 㝪
lóng 㝫
xǐng 㝭
cuì 㝮
qiáo 㝯
mián 㝰
mèng 㝱
qǐn 㝲
wán 㝴
dé,ài 㝵
ài 㝶
biàn 㝸
nóu 㝹
lián 㝺
jǐn 㝻
yū 㝼
chuí 㝽
zuǒ 㝾
bǒ 㝿
huī 㞀
yào 㞁
tuǐ,tuì 㞂
jì 㞃
ān 㞄
luò 㞅
jǐ 㞆
wěi 㞇
bō 㞈
zā 㞉
xù 㞊
niǎn,jí 㞋
yùn 㞌
bǎ,pā 㞎
zhé,jié 㞏
jū 㞐
wěi 㞑
xiè,xì 㞒
qì,jī 㞓
yí 㞔
xiè 㞕
cí,cì 㞖
qiú 㞗
dū 㞘
niào 㞙
qì,zhǎ 㞚
jǐ 㞛
tuī 㞜
sóng 㞞
diàn,dǐng 㞟
láo 㞠
zhǎn 㞡
yín,cén 㞤
cén 㞥
jǐ 㞦
huì 㞧
zǐ 㞨
lán 㞩
náo 㞪
jù 㞫
qìn 㞬
dài 㞭
jié 㞯
xǔ 㞰
cōng 㞱
yòng 㞲
dǒu 㞳
chí,mín 㞴
mǐn 㞶
huáng 㞷
suì 㞸
kě 㞹
zú 㞺
hào 㞻
chéng 㞼
xuè 㞽
ní 㞾
chì 㞿
lián 㟀
àn 㟁
mǔ 㟂
sī 㟃
xiáng 㟄
yáng 㟅
huá 㟆
cuò,cuó 㟇
qiú 㟈
láo 㟉
fú 㟊
duì 㟋
máng 㟌
láng,lǎng 㟍
tuǒ,tuǐ 㟎
hán 㟏
mǎng 㟐
bó 㟑
qūn 㟒
qí 㟓
hán 㟔
lòng,lóng 㟖
tiáo 㟘
zé 㟙
qí 㟚
zàn 㟛
mí 㟜
péi 㟝
zhàn 㟞
xiàng 㟟
gǎng 㟠
qí 㟢
lù 㟤
yùn 㟦
è 㟧
duān 㟨
mín 㟩
wēi,wěi 㟪
quán 㟫
sǒu 㟬
mín 㟭
tū 㟮
mǐng 㟰
yǎo 㟱
jué 㟲
lì 㟳
kuài 㟴
gǎng 㟵
yuán 㟶
da 㟷
láo 㟹
lóu 㟺
qiàn,zhǎn 㟻
áo 㟼
biǎo,biāo 㟽
yōng 㟾
mǎng,máng 㟿
dǎo 㠀
áo 㠂
xí 㠄
fú,fù 㠅
dān 㠆
jiù 㠇
rùn 㠈
tóng 㠉
qū 㠊
è 㠋
qī 㠌
jí 㠍
jí,jié 㠎
huá 㠏
jiào 㠐
zuì 㠑
biǎo 㠒
méng 㠓
bài 㠔
wěi 㠕
yǐ 㠖
ào 㠗
yǔ 㠘
háo 㠙
duì 㠚
wò 㠛
nì 㠜
cuán 㠝
lí 㠟
lú 㠠
niǎo 㠡
huái 㠢
lì 㠣
lǜ,léi,lěi 㠥
fēng 㠦
mǐ 㠧
yù 㠨
jù 㠪
zhǎn 㠭
pēng,gāng 㠮
yǐ 㠯
jì,qǐ 㠱
bǐ 㠲
rèn 㠴
huāng 㠵
fán 㠶
gé 㠷
kù 㠸
jiè 㠹
shā,miáo 㠺
sī 㠼
tóng 㠽
yuān 㠾
zī,cǐ 㠿
bì 㡀
kuǎ 㡁
lì 㡂
huāng 㡃
xún 㡄
nuǒ 㡅
zhé,jiē 㡇
wèn,mén,miǎn 㡈
xián 㡉
qià 㡊
yé,ān 㡋
mào 㡌
shù,xū,tóu,shū 㡏
qiāo,jiǎo 㡑
zhūn 㡒
kūn 㡓
wù 㡔
yīng 㡕
chuáng 㡖
tí 㡗
lián,lín 㡘
bī 㡙
gōu 㡚
máng 㡛
xiè,xuě 㡜
fèng 㡝
lóu,lǚ 㡞
zāo 㡟
zhèng 㡠
chú 㡡
màn 㡢
lóng 㡣
yìn 㡥
pīn 㡦
zhèng 㡧
jiān,qiān 㡨
luán 㡩
nié 㡪
yì 㡫
jì 㡭
jí 㡮
zhái,dù,duó 㡯
yǔ 㡰
jiǔ 㡱
huán 㡲
zhǐ 㡳
lā 㡴
líng 㡵
zhǐ 㡶
běn 㡷
zhà,zhǎ,chá 㡸
jū 㡹
dàn 㡺
liào 㡻
yì 㡼
zhào 㡽
xiàn 㡾
chì 㡿
cì 㢀
chǐ,shǐ 㢁
yǎn,tuí,duī 㢂
láng 㢃
dòu 㢄
lòng 㢅
chán 㢆
tuí,duī 㢈
chá 㢉
ǎi,yǐ 㢊
chǐ 㢋
yǐng 㢍
zhé 㢎
tóu,yǔ,yú 㢏
tuí 㢑
chá 㢒
yǎo 㢓
zǒng 㢔
pān,bān 㢖
qiào 㢗
lián 㢘
qín 㢙
lǔ 㢚
yàn,qiān 㢛
kāng,kàng 㢜
sū 㢝
yì 㢞
chān 㢟
jiǒng 㢠
jiǎng 㢡
jìng 㢣
dòng 㢥
juàn 㢧
hàn 㢨
dì 㢩
hóng 㢬
chí 㢮
diāo,mín 㢯
bì 㢰
xùn 㢲
lú 㢳
xié,shè 㢵
bì 㢶
bì 㢸
xián 㢺
ruì 㢻
biè 㢼
ěr 㢽
juàn 㢾
zhèn 㣀
bèi 㣁
è 㣂
yǔ 㣃
qú 㣄
zàn 㣅
mí 㣆
yì 㣇
sì 㣈
shàn 㣌
tái 㣍
mù 㣎
jìng 㣏
biàn 㣐
róng 㣑
cèng 㣒
càn 㣓
dīng 㣔
dí,zhòu 㣙
tǒng,tóng,dòng 㣚
tà,huì 㣛
xíng 㣜
sōng 㣝
duó 㣞
xì 㣟
tāo,tóng 㣠
tí 㣢
shàn 㣣
jiàn 㣤
zhì 㣥
wēi 㣦
yìn 㣧
huǎn 㣪
zhǒng,dòng 㣫
qì 㣬
zōng 㣭
xiè 㣯
xiè 㣰
zé 㣱
wéi 㣲
tà 㣵
zhān 㣶
nìng 㣷
yì 㣻
rěn 㣼
shù,nù 㣽
chà 㣾
zhuó,diǎo 㣿
miǎn 㤁
jí 㤂
fáng 㤃
pèi 㤄
ài,xì,jì 㤅
fàn 㤆
ǎo 㤇
qìn 㤈
qiā,yà 㤉
xiào 㤊
fēn 㤋
gān 㤌
qiāo,qiǎo 㤍
gē 㤎
tóng 㤏
chān 㤐
yòu 㤑
gāo 㤒
bèn 㤓
fù 㤔
chù,pò 㤕
zhù 㤖
zhòu 㤘
háng 㤚
nín 㤛
jué 㤜
chōng 㤝
chà,duó,zé 㤞
kǒng 㤟
liè 㤠
lì,liè 㤡
yù 㤢
yú 㤤
hài 㤥
lì 㤦
hóu 㤧
gǒng 㤨
kè 㤩
yuàn 㤪
dé 㤫
huì 㤬
guàng 㤮
jiǒng 㤯
zuò 㤰
fù,dòu 㤱
qiè 㤲
běi 㤳
chè,shè,dié 㤴
cí 㤵
máng,màng 㤶
hān 㤷
xì 㤸
qiú,jiù 㤹
huǎng 㤺
chóu 㤽
sàn,tàn 㤾
yān 㤿
zhí,dé 㥀
dé 㥁
tè 㥂
mèn 㥃
líng 㥄
shòu 㥅
tuì 㥆
cán 㥇
dié 㥈
chè 㥉
péng,pēng 㥊
yī 㥋
jú 㥌
jì 㥍
lái 㥎
tiǎn 㥏
yuàn 㥐
cǎi,cāi 㥒
qī 㥓
yù 㥔
lián 㥕
cōng 㥖
yú,yǔ 㥚
jí,kè 㥛
wèi 㥜
mǐ 㥝
suì 㥞
xié 㥟
xū 㥠
chì 㥡
qiú,jiū 㥢
huì 㥣
yú 㥥
qiè 㥦
shùn 㥧
shuì,wěi 㥨
duǒ 㥩
lóu 㥪
páng 㥬
tài 㥭
zhòu,chǎo 㥮
yǐn 㥯
sāo 㥰
fěi 㥱
chēn,shèn 㥲
yuán 㥳
yí,tí 㥴
hùn 㥵
sè,qiān 㥶
yè 㥷
mǐn 㥸
fěn 㥹
hé 㥺
yìn,yān 㥼
cè,zé 㥽
nì 㥾
ào 㥿
féng 㦀
lián,liǎn 㦁
cháng 㦂
chǎn 㦃
má 㦄
diē,dì,chài 㦅
hū,xiā 㦆
lù 㦇
yì 㦉
huá 㦊
zhā 㦋
hū,xù 㦌
è 㦍
huò 㦎
sǔn,xuàn 㦏
nì 㦐
xiàn,hān 㦑
lí 㦒
xiàn,rǎn 㦓
yàn 㦔
lóng 㦕
mèn 㦖
jīn,jìn 㦗
jī 㦘
biǎn 㦚
yǔ,yú 㦛
huò,xuè 㦜
miǎo 㦝
chóu 㦞
mái 㦟
lè 㦡
jié 㦢
wèi 㦣
yì 㦤
xuān,xiǎn 㦥
xì 㦦
cǎn 㦧
lán 㦨
yǐn 㦩
xiè 㦪
zā 㦫
luǒ 㦬
líng 㦭
qián 㦮
huò 㦯
jiān 㦰
wǒ 㦱
gé 㦴
zhū 㦵
dié,yǒng 㦶
yǒng 㦷
jǐ 㦸
yáng 㦹
rù 㦺
xí 㦻
shuàng 㦼
yù 㦽
yí 㦾
qiǎn,hù 㦿
jí 㧀
qù,hé 㧁
tián 㧂
shōu,jiū 㧃
qiǎn 㧄
mù,dāo 㧅
jīn 㧆
mǎo 㧇
