líng,yuán,xīng 〇
qīng,qìng 輕
zhōu 輖
ní,yì 輗
léng,líng,lèng 輘
zhé 輙
zhàn 輚
liàng 輛
zī,zì 輜
huī 輝
wǎng 輞
chuò 輟
guǒ,huà,huì 輠
kǎn 輡
yǐ 輢
péng 輣
qiàn 輤
gǔn 輥
niǎn,liǎn 輦
píng,pēng 輧
guǎn 輨
bèi 輩
lún 輪
pái 輫
liáng 輬
ruǎn,ér 輭
róu,rǒu 輮
jí 輯
yáng 輰
xián,kàn 輱
chuán 輲
còu 輳
chūn,shǔn 輴
gé,yà,è,qiè 輵
yóu 輶
hōng 輷
shū,shù 輸
fù,bú 輹
zī 輺
fú 輻
wēn,yūn 輼
bèn 輽
zhǎn,niǎn 輾
yú,yù 輿
wēn 轀
tāo,kǎn 轁
gǔ,gū 轂
zhēn 轃
xiá,hé 轄
yuán 轅
lù 轆
jiāo,xiǎo 轇
cháo 轈
zhuǎn,zhuàn,zhuǎi 轉
wèi 轊
hún 轋
xuě 轌
zhé 轍
jiào 轎
zhàn 轏
bú 轐
lǎo,láo,liáo,liǎo,liào 轑
fén 轒
fān 轓
lín,lìn 轔
gé 轕
sè 轖
kǎn 轗
huán,huàn 轘
yǐ 轙
jí 轚
zhuì 轛
ér 轜
yù 轝
jiàn 轞
hōng 轟
léi 轠
pèi 轡
lì 轢
lì 轣
lú 轤
lìn 轥
chē,jū 车
yà,gá,zhá 轧
guǐ 轨
xuān 轩
dài 轪
rèn 轫
zhuǎn,zhuǎi,zhuàn 转
è 轭
lún 轮
ruǎn 软
hōng 轰
gū 轱
kē,kě 轲
lú 轳
zhóu,zhòu 轴
zhǐ 轵
yì 轶
hū 轷
zhěn 轸
lì 轹
yáo 轺
qīng 轻
shì 轼
zài,zǎi 载
zhì 轾
jiào 轿
zhōu 辀
quán 辁
lù 辂
jiào 较
zhé 辄
fǔ 辅
liàng 辆
niǎn 辇
bèi 辈
huī 辉
gǔn 辊
wǎng 辋
liáng 辌
chuò 辍
zī 辎
còu 辏
fú 辐
jí 辑
wēn 辒
shū 输
pèi 辔
yuán 辕
xiá 辖
niǎn,zhǎn 辗
lù 辘
zhé 辙
lín 辚
xīn 辛
gū 辜
cí 辝
cí 辞
pì,bì,mǐ,pī 辟
zuì,zuī 辠
biàn 辡
là 辢
là 辣
cí 辤
xuē,yì 辥
bàn 辦
biàn 辧
biàn,biǎn,bàn,piàn 辨
biàn 辩
xuē 辪
biàn 辫
bān 辬
cí 辭
biàn 辮
biàn,pián,biǎn,bàn 辯
chén 辰
rǔ 辱
nóng 農
nóng 辳
chǎn,zhěn 辴
chuò 辵
chuò 辶
yī 辷
réng 辸
biān,bian 边
biān 辺
shí 辻
yū 込
liáo 辽
dá,tì,tà 达
chān,chán 辿
gān 迀
qiān 迁
yū 迂
yū 迃
qì 迄
xùn 迅
yí,yǐ,tuó 迆
guò,guō 过
mài 迈
qī 迉
zā 迊
wàng,guàng,kuáng 迋
tù 迌
zhūn 迍
yíng,yìng 迎
dá 迏
yùn,yǔn 运
jìn 近
háng,xiáng 迒
yà 迓
fǎn 返
wù,wǔ 迕
dá 迖
é 迗
hái,fú,huán 还
zhè,zhèi 这
dá 迚
jìn 进
yuǎn 远
wéi 违
lián 连
chí 迟
chè 迠
nì,chí 迡
tiáo 迢
zhì,chì 迣
yí,yǐ,tuó 迤
jiǒng 迥
jiā,xiè 迦
chén 迧
dài 迨
ěr 迩
dí 迪
pò,pǎi 迫
zhù,wǎng 迬
dié,yì,dá 迭
zé,zuò 迮
táo 迯
shù 述
tuó,yí 迱
qu 迲
jìng 迳
huí 迴
dòng 迵
yòu 迶
mí,mì 迷
bèng 迸
jì,jī 迹
nǎi 迺
yí 迻
jié 迼
zhuī,duī,tuī 追
liè 迾
xùn 迿
tuì 退
sòng 送
shì,kuò 适
táo 逃
páng,féng 逄
hòu 逅
nì 逆
dùn 逇
jiǒng 逈
xuǎn 选
xùn 逊
bū 逋
yōu,yóu 逌
xiāo 逍
qiú 逎
tòu,shū 透
zhú,dí,zhòu,tún 逐
qiú 逑
dì 递
dì 逓
tú 途
jìng 逕
tì 逖
dòu,zhù,tóu,qí 逗
yǐ,sì 逘
zhè,yàn,zhèi 這
tōng,tòng 通
guàng,kuáng 逛
wù,wǔ 逜
shì 逝
chěng,yíng 逞
sù 速
zào,cào,cāo 造
qūn,xùn,suō 逡
féng,péng,páng 逢
lián,liǎn,liàn,làn 連
suò 逤
huí 逥
lǐ 逦
gǔ 逧
lái,lài 逨
bèn,bēn 逩
cuò 逪
jué,zhú 逫
bèng,pēng 逬
huàn 逭
dǎi,dài,dì 逮
lù,dài 逯
yóu 逰
zhōu 週
jìn 進
yù 逳
chuō,chuò 逴
kuí,kuǐ 逵
wēi 逶
tì 逷
yì 逸
dá 逹
yuǎn 逺
luó 逻
bī 逼
nuò 逽
yú,dòu 逾
dàng,táng 逿
suí 遀
dùn,qūn,xún 遁
suì,suí 遂
yǎn,àn 遃
chuán 遄
chí 遅
tí 遆
yù,yóng,ǒu 遇
shí 遈
zhēn 遉
yóu 遊
yùn 運
è 遌
biàn 遍
guò,guō,guo,huò 過
è 遏
xiá 遐
huáng 遑
qiú,qiū 遒
dào,dǎo 道
dá,tà 達
wéi,huí 違
nán 遖
yí,wèi 遗
gòu 遘
yáo 遙
chòu 遚
liú,liù 遛
xùn 遜
tà 遝
dì,shì,dài 遞
chí,zhì,xī 遟
yuǎn,yuàn 遠
sù 遡
tà 遢
qiǎn,qiàn 遣
mǎ 遤
yáo 遥
guàn 遦
zhāng 遧
áo 遨
shì,dí,tì,zhé 適
cà 遪
chì 遫
sù 遬
zāo 遭
zhē 遮
dùn 遯
dì,shì,dài 遰
lóu 遱
chí,zhì 遲
cuō 遳
lín,lìn 遴
zūn 遵
rào 遶
qiān 遷
xuǎn,xuàn,suàn,shuā 選
yù 遹
yí,wèi,suí 遺
è 遻
liáo 遼
jù,qú 遽
shì 遾
bì 避
yāo 邀
mài 邁
xiè 邂
suì 邃
hái,huán,xuán 還
zhān,zhàn 邅
téng 邆
ěr 邇
miǎo,miáo 邈
biān 邉
biān 邊
lā,liè 邋
lí,chí 邌
yuán 邍
yáo 邎
luó,luò 邏
lǐ 邐
yì,è 邑
tíng 邒
dèng,shān 邓
qǐ 邔
yōng,yǒng 邕
shān 邖
hán 邗
yú 邘
máng 邙
rú,fù 邚
qióng 邛
xī 邜
kuàng 邝
fū 邞
kàng,háng,kāng 邟
bīn 邠
fāng,fàng 邡
xíng,gěng 邢
nà,nuó,nuò,nèi,nǎ,něi,né,nā,nǎi,nè 那
xīn 邤
shěn 邥
bāng 邦
yuán 邧
cūn 邨
huǒ 邩
xié,yá,yé,xú,shé 邪
bāng 邫
wū 邬
jù 邭
yóu 邮
hán,hàn 邯
tái 邰
qiū 邱
bì,biàn 邲
pī 邳
bǐng 邴
shào 邵
bèi 邶
wǎ 邷
dǐ 邸
zōu 邹
yè,qiū 邺
lín 邻
kuāng 邼
guī 邽
zhū 邾
shī 邿
kū 郀
yù 郁
gāi,hái 郂
hé,xiá 郃
qiè,xì 郄
zhì,jí 郅
jí 郆
huán,xún 郇
hòu 郈
xíng 郉
jiāo 郊
xí 郋
guī 郌
nuó,nǎ,fú 郍
láng,làng 郎
jiá 郏
kuài 郐
zhèng 郑
láng 郒
yùn 郓
yán 郔
chéng 郕
dòu 郖
xī,chī 郗
lǚ,lǘ 郘
fǔ 郙
wú,yú 郚
fú 郛
gào 郜
hǎo,shì 郝
láng 郞
jiá 郟
gěng 郠
jùn 郡
yǐng,chéng 郢
bó 郣
xì 郤
bèi 郥
lì 郦
yún 郧
bù,pǒu 部
xiáo,ǎo 郩
qī 郪
pí 郫
qīng 郬
guō,guó 郭
zhōu 郮
tán 郯
zōu,jǔ 郰
píng 郱
lái,lěi 郲
ní 郳
chēn,lán 郴
yóu,chuí 郵
bù 郶
xiāng 郷
dān 郸
jú 郹
yōng 郺
qiāo 郻
yī 郼
dōu,dū 都
yǎn,yān 郾
méi 郿
ruò 鄀
bèi 鄁
è 鄂
shū 鄃
juàn 鄄
yǔ 鄅
yùn 鄆
hóu 鄇
kuí 鄈
xiāng,xiǎng,xiàng 鄉
xiāng 鄊
sōu 鄋
táng 鄌
míng 鄍
xī 鄎
rǔ 鄏
chù 鄐
zī 鄑
zōu,jù 鄒
yè 鄓
wū 鄔
xiāng 鄕
yún 鄖
hào,qiāo,jiāo 鄗
yōng 鄘
bǐ 鄙
mào,mò 鄚
cháo 鄛
fū,lù 鄜
liǎo 鄝
yín 鄞
zhuān 鄟
hù 鄠
qiāo 鄡
yān 鄢
zhāng,zhàng 鄣
màn,wàn 鄤
qiāo 鄥
xǔ 鄦
dèng 鄧
bì 鄨
xún 鄩
bì 鄪
zēng,céng 鄫
wéi 鄬
zhèng 鄭
mào 鄮
shàn 鄯
lín,lìn 鄰
pó,pí,pán 鄱
dān,duō 鄲
méng 鄳
yè 鄴
cào,sāo 鄵
kuài 鄶
fēng 鄷
méng 鄸
zōu,jù 鄹
kuàng,kuò 鄺
liǎn 鄻
zàn 鄼
chán 鄽
yōu 鄾
jī,qí 鄿
yàn,yǎn 酀
chán 酁
cuó,zàn 酂
líng 酃
huān,quān 酄
xī 酅
fēng 酆
zàn,cuó 酇
lì,lí,zhí 酈
yǒu 酉
dīng,dǐng 酊
qiú 酋
zhuó 酌
pèi 配
zhòu 酎
yǐ,yí 酏
gān,hàng 酐
yú 酑
jiǔ 酒
yǎn,yàn,yǐn 酓
zuì 酔
máo 酕
zhèn,dān 酖
xù 酗
dòu 酘
zhēn 酙
fēn 酚
yuán 酛
fu 酜
yùn 酝
tài 酞
tiān 酟
qiǎ 酠
tuó,duò 酡
cù,zuò 酢
hān,hàn 酣
gū 酤
sū 酥
pò,fā,pō 酦
chóu 酧
zài,zuì 酨
mǐng 酩
lào,luò,lù 酪
chuò 酫
chóu 酬
yòu 酭
tóng,dòng,chóng 酮
zhǐ 酯
xiān 酰
jiàng 酱
chéng 酲
yìn 酳
tú 酴
jiào 酵
méi 酶
kù 酷
suān 酸
lèi 酹
pú 酺
zuì,fú 酻
hǎi 酼
yàn 酽
shāi,shī 酾
niàng,niáng 酿
wéi,zhuì 醀
lù 醁
lǎn 醂
yān,āng 醃
táo 醄
pēi 醅
zhǎn 醆
chún 醇
tán,dàn 醈
zuì 醉
zhuì 醊
cù,zuò 醋
kūn 醌
tí,tǐ 醍
xián,jiǎn 醎
dū 醏
hú 醐
xǔ 醑
xǐng,chéng,jīng 醒
tǎn 醓
qiú,chōu 醔
chún 醕
yùn 醖
pò 醗
kē 醘
sōu 醙
mí 醚
quán,chuò 醛
chǒu 醜
cuō,cuǒ 醝
yùn 醞
yòng 醟
àng 醠
zhà 醡
hǎi 醢
táng 醣
jiàng 醤
piǎo 醥
chěn,chǎn 醦
yù,ōu 醧
lí 醨
zāo 醩
láo 醪
yī,yǐ 醫
jiàng 醬
bú 醭
jiào,qiáo,zhàn 醮
xī 醯
tán 醰
fā,pò,pō 醱
nóng 醲
yì,shì 醳
lǐ 醴
jù 醵
yàn,liǎn,xiān,jiǎn 醶
yì,yǐ,ài 醷
niàng 醸
rú 醹
xūn 醺
chóu,shòu,dào 醻
yàn 醼
líng 醽
mí 醾
mí 醿
niàng,niáng 釀
xìn 釁
jiào 釂
shāi,shī,lí 釃
mí 釄
yàn 釅
biàn,biǎn 釆
cǎi,cài 采
shì 釈
yòu 釉
shì 释
shì,yì 釋
lǐ,li 里
zhòng,chóng,tóng 重
yě,shù 野
liàng,liáng 量
lí,xī,lái,tāi,lài,xǐ 釐
jīn,jìn 金
jīn 釒
qiú,gá 釓
yǐ 釔
liǎo,liào 釕
dāo 釖
zhāo 釗
dīng,dìng,líng 釘
pò,pō 釙
qiú 釚
bā 釛
fǔ 釜
zhēn 針
zhí 釞
bā 釟
luàn 釠
fǔ 釡
nǎi 釢
diào 釣
shàn,shān,xiān 釤
qiǎo,jiǎo 釥
kòu 釦
chuàn,chuān 釧
zǐ 釨
fǎn,fàn,fán 釩
huá,yú 釪
huá,wū 釫
hàn,gān 釬
gāng,gōng 釭
qí 釮
máng 釯
rì,rèn,jiàn 釰
dì 釱
sì 釲
xì 釳
yì 釴
chāi,chā 釵
shī,yí,yě 釶
tǔ 釷
xī 釸
nǚ 釹
qiān 釺
qiú 釻
jiàn 釼
pì,pī,zhāo 釽
yé,yá 釾
jīn,yǐn,yín 釿
bǎ,bā,pá 鈀
fāng 鈁
chén,qín,zhèn 鈂
xíng 鈃
dǒu 鈄
yuè 鈅
qiān,zhōng 鈆
fū,fǔ 鈇
pī,bù 鈈
nà,ruì 鈉
xīn,qìn 鈊
é 鈋
jué 鈌
dùn 鈍
gōu 鈎
yǐn 鈏
qián,hán 鈐
bǎn 鈑
sà,xì 鈒
rén 鈓
chāo,chǎo 鈔
niǔ,chǒu 鈕
fēn 鈖
yǔn,duì 鈗
yǐ 鈘
qín 鈙
pī,bī,bǐ 鈚
guō 鈛
hóng 鈜
yín 鈝
jūn 鈞
diào 鈟
yì 鈠
zhōng 鈡
xǐ 鈢
gài 鈣
rì 鈤
huǒ 鈥
tài 鈦
kàng 鈧
yuán 鈨
lú 鈩
è 鈪
qín 鈫
duó 鈬
zī 鈭
nǐ,ní 鈮
tú 鈯
shì 鈰
mín,mǐn 鈱
gū,pì 鈲
kē 鈳
líng 鈴
bǐng 鈵
sì,cí,tái 鈶
gǔ,hú,gù 鈷
bó 鈸
pī,pí 鈹
yù 鈺
sì 鈻
zuó 鈼
bū 鈽
yóu,zhòu 鈾
tián,diàn 鈿
jiǎ,gé 鉀
zhēn,zhèn 鉁
shǐ 鉂
shì,zú 鉃
zhí,tiě 鉄
jù 鉅
chān,qián,tiē 鉆
shī,yí 鉇
shī,shé,yí,tuó,tā 鉈
xuàn 鉉
zhāo 鉊
bào,páo,báo 鉋
hé 鉌
bì,sè 鉍
shēng 鉎
chú,zū,zhù,jǔ,chá,xú 鉏
shí,zú 鉐
bó 鉑
zhù 鉒
chì 鉓
zā 鉔
pō,pǒ 鉕
tóng 鉖
qián,ān 鉗
fú 鉘
zhǎi 鉙
liǔ,mǎo 鉚
qiān,yán 鉛
fú 鉜
lì 鉝
yuè 鉞
pī 鉟
yāng 鉠
bàn 鉡
bō 鉢
jié 鉣
gōu,gòu,qú 鉤
shù,xù 鉥
zhēng 鉦
mǔ 鉧
xǐ,nǐ,niě 鉨
xǐ,niè 鉩
dì 鉪
jiā 鉫
mù 鉬
tǎn 鉭
huán,shén,shēn 鉮
yǐ 鉯
sī 鉰
kuàng 鉱
kǎ 鉲
běi 鉳
jiàn 鉴
tóng,zhuó 鉵
xíng 鉶
hóng 鉷
jiǎo 鉸
chǐ 鉹
èr,kēng,ěr 鉺
luò,gē,gè 鉻
bǐng,píng 鉼
shì 鉽
móu,máo 鉾
jiā,gē,kē,hā 鉿
yín 銀
jūn 銁
zhōu 銂
chòng 銃
xiǎng,jiōng 銄
tóng 銅
mò 銆
lèi 銇
jī 銈
yù,sì 銉
xù,huì 銊
rén,rěn 銋
zùn 銌
zhì 銍
qióng,qiōng 銎
shàn,shuò 銏
chì,lì 銐
xiǎn,xiān,xǐ 銑
xíng,jiān 銒
quán 銓
pī 銔
tiě,yí 銕
zhū 銖
xiàng,hóu 銗
míng 銘
kuǎ 銙
yáo,diào,tiáo,qiāo,yào 銚
xiān,tiǎn,guā 銛
xián 銜
xiū 銝
jūn 銞
chā 銟
lǎo 銠
jí 銡
pǐ 銢
rú 銣
mǐ 銤
yī 銥
yīn 銦
guāng 銧
ǎn 銨
diū 銩
yǒu 銪
sè 銫
kào 銬
qián 銭
luán 銮
sī 銯
āi 銰
diào 銱
hàn 銲
ruì 銳
shì,zhì 銴
kēng 銵
qiú 銶
xiāo 銷
zhé,niè 銸
xiù,yòu 銹
zàng 銺
tí,tī 銻
cuò 銼
guā 銽
hòng,gǒng 銾
zhōng,yōng 銿
tōu,dòu,tù 鋀
lǚ,lǜ 鋁
méi,méng 鋂
láng 鋃
wàn 鋄
xīn,zǐ 鋅
yún,jūn 鋆
bèi 鋇
wù 鋈
sù 鋉
yù 鋊
chán,yán 鋋
dìng,tǐng 鋌
bó 鋍
hàn 鋎
jiá 鋏
hóng 鋐
cuān,jiān,juān 鋑
fēng 鋒
chān 鋓
wǎn 鋔
zhì 鋕
sī,tuó 鋖
xuān,juān,juàn 鋗
huá,wú,hú 鋘
yǔ,yú,wú 鋙
tiáo 鋚
kuàng 鋛
zhuó,chuò 鋜
lüè 鋝
xíng,xìng,jīng 鋞
qǐn,qiān,qīn,jìn 鋟
shèn 鋠
hán 鋡
lüè 鋢
yé 鋣
chú,jǔ 鋤
zèng 鋥
jū,jú 鋦
xiàn 鋧
tiě,é 鋨
máng 鋩
pù,pū 鋪
lí 鋫
pàn 鋬
ruì,duì,yuè 鋭
chéng 鋮
gào 鋯
lǐ 鋰
tè 鋱
bīng 鋲
zhù 鋳
zhèn 鋴
tū 鋵
liǔ 鋶
zuì,niè 鋷
jù,jū 鋸
chǎng 鋹
yuǎn,yuān,wǎn,wān 鋺
jiàn,jiān 鋻
gāng,gàng 鋼
diào 鋽
táo 鋾
cháng 鋿
lún,fēn 錀
guǒ,kuǎ,kè 錁
líng 錂
pī 錃
lù 錄
lí 錅
qiāng 錆
póu,fú,péi 錇
juǎn 錈
mín 錉
zuì,zū 錊
péng,bèng 錋
àn 錌
pī,bēi,bī,pí 錍
xiàn,gàn,qiàn 錎
yā,yà 錏
zhuī 錐
lèi,lì 錑
kē,ā 錒
kōng 錓
tà 錔
kūn,gǔn 錕
dú 錖
nèi,zhuì,wèi 錗
chuí 錘
zī 錙
zhēng 錚
bēn 錛
niè 錜
zòng 錝
chún,duì,duò 錞
tán,xiān,yǎn 錟
dìng 錠
qí,yǐ 錡
qián,jiǎn 錢
zhuì,chuò 錣
jī 錤
yù 錥
jǐn 錦
guǎn 錧
máo 錨
chāng 錩
tiǎn,tǔn 錪
xī,tì 錫
liàn 錬
táo,diāo 錭
gù 錮
cuò,cù,xī 錯
shù 錰
zhēn 錱
lù,lǜ 録
měng 錳
lù 錴
huā 錵
biǎo 錶
gá 錷
lái 錸
kěn 錹
fāng 錺
wu 錻
nài 錼
wàn,jiǎn 錽
zàn 錾
hǔ 錿
dé 鍀
xiān 鍁
piān 鍂
huō 鍃
liàng 鍄
fǎ 鍅
mén 鍆
kǎi,jiē,jiě 鍇
yīng 鍈
dī,chí,dí,shì 鍉
liàn,jiàn 鍊
guō,guǒ 鍋
xiǎn 鍌
dù 鍍
tú 鍎
wéi 鍏
zōng 鍐
fù 鍑
róu 鍒
jí 鍓
è 鍔
jūn 鍕
chěn,zhēn 鍖
tí 鍗
zhá 鍘
hù 鍙
yáng 鍚
duàn 鍛
xiá 鍜
yú 鍝
kēng 鍞
shēng 鍟
huáng 鍠
wěi 鍡
fù 鍢
zhāo 鍣
chā 鍤
qiè 鍥
shī,shé 鍦
hōng 鍧
kuí 鍨
tiǎn,nuò 鍩
móu 鍪
qiāo 鍫
qiāo 鍬
hóu 鍭
tōu 鍮
cōng 鍯
huán 鍰
yè,xié 鍱
mín 鍲
jiàn 鍳
duān 鍴
jiàn 鍵
sōng,sī 鍶
kuí 鍷
hú 鍸
xuān 鍹
duǒ,dǔ,zhě 鍺
jié 鍻
zhēn,qián 鍼
biān 鍽
zhōng 鍾
zī 鍿
xiū 鎀
yé 鎁
měi 鎂
pài 鎃
āi 鎄
jiè 鎅
qian 鎆
méi 鎇
suǒ,chā 鎈
dá,tà 鎉
bàng,pāng 鎊
xiá 鎋
lián 鎌
suǒ,sè 鎍
kài 鎎
liú 鎏
yáo,zú 鎐
yè,tà,gé 鎑
nòu,hāo 鎒
wēng 鎓
róng 鎔
táng 鎕
suǒ 鎖
qiāng,chēng,qiàng 鎗
lì,gé 鎘
shuò 鎙
chuí,duī,zhuì 鎚
bó 鎛
pán 鎜
dā,sà 鎝
bī,pī 鎞
sǎng 鎟
gāng 鎠
zī 鎡
wū 鎢
yíng,yīng,jiǒng 鎣
huàng 鎤
tiáo 鎥
liú,liù 鎦
kǎi 鎧
sǔn 鎨
shā,shì,sè 鎩
sōu 鎪
wàn 鎫
hào,gǎo 鎬
zhèn 鎭
zhèn,zhēn,tián 鎮
láng,luǒ 鎯
yì 鎰
yuán 鎱
tǎng 鎲
niè 鎳
xí 鎴
jiā 鎵
gē 鎶
mǎ 鎷
juān 鎸
sòng 鎹
zǔ 鎺
suǒ 鎻
xià 鎼
fēng 鎽
wēn 鎾
ná 鎿
lǔ 鏀
suǒ 鏁
ōu,kōu 鏂
zú,chuò 鏃
tuán 鏄
xiū,xiù 鏅
guàn 鏆
xuàn,xuán 鏇
liàn,lián 鏈
shòu,sōu 鏉
ào 鏊
mǎn 鏋
mò 鏌
luó 鏍
bì 鏎
wèi 鏏
liú,liù,liáo 鏐
dí,dī 鏑
sǎn,qiāo,càn 鏒
zǒng,cōng 鏓
yí 鏔
lù,áo 鏕
áo,biāo 鏖
kēng 鏗
qiāng 鏘
cuī 鏙
qī 鏚
cháng 鏛
tāng,táng 鏜
màn 鏝
yōng 鏞
chǎn 鏟
fēng 鏠
jìng 鏡
biāo 鏢
shù 鏣
lòu,lǘ 鏤
xiù 鏥
cōng 鏦
lóng 鏧
zàn 鏨
jiàn,zàn 鏩
cáo 鏪
lí 鏫
xià 鏬
xī 鏭
kāng 鏮
shuǎng 鏯
bèng 鏰
zhang 鏱
qian 鏲
chēng 鏳
lù 鏴
huá 鏵
jí 鏶
pú 鏷
huì,suì,ruì 鏸
qiǎng,qiāng 鏹
pō 鏺
lín 鏻
sè 鏼
xiù 鏽
sǎn,xiàn,sà 鏾
chēng 鏿
kuì 鐀
sī 鐁
liú 鐂
náo,nào 鐃
huáng 鐄
piě 鐅
suì 鐆
fán 鐇
qiáo 鐈
quān 鐉
yáng 鐊
tāng,tàng 鐋
xiàng 鐌
jué,yù 鐍
jiāo 鐎
zūn 鐏
liáo 鐐
qiè 鐑
láo 鐒
duì,duī,dūn 鐓
xín 鐔
zān 鐕
jī,qí 鐖
jiǎn 鐗
zhōng 鐘
dèng,dēng 鐙
yā 鐚
yǐng 鐛
duī,dūn 鐜
jué 鐝
nòu 鐞
zān,tì 鐟
pǔ 鐠
tiě 鐡
fán 鐢
chēng 鐣
dǐng 鐤
shàn 鐥
kāi 鐦
jiān,jiǎn 鐧
fèi 鐨
suì 鐩
lǔ 鐪
juān 鐫
huì 鐬
yù 鐭
lián 鐮
zhuó 鐯
qiāo,sào,cáo 鐰
jiàn,qiān 鐱
zhuó,shǔ 鐲
léi 鐳
bì,bèi 鐴
tiě,dié 鐵
huán,xuàn 鐶
yè 鐷
duó 鐸
guǒ,guō 鐹
dāng,chēng,tāng 鐺
jù,qú 鐻
fén,bēn 鐼
dá 鐽
bèi 鐾
yì 鐿
ài 鑀
zōng 鑁
xùn 鑂
diào 鑃
zhù 鑄
héng 鑅
zhuì 鑆
jī 鑇
niè,nǐ 鑈
hé 鑉
huò 鑊
qīng 鑋
bīn 鑌
yīng 鑍
kuì 鑎
níng,nǐng 鑏
xū,rú,róu 鑐
jiàn 鑑
jiàn 鑒
qiǎn 鑓
chǎ 鑔
zhì 鑕
miè,mì 鑖
lí 鑗
léi,lěi 鑘
jī 鑙
zuàn 鑚
kuàng,gǒng 鑛
shǎng 鑜
péng 鑝
là 鑞
dú 鑟
shuò,yuè,lì 鑠
chuò 鑡
lǜ 鑢
biāo 鑣
bào 鑤
lǔ 鑥
xian 鑦
kuān 鑧
lóng 鑨
è 鑩
lú 鑪
xīn,xùn 鑫
jiàn 鑬
làn,lán 鑭
bó 鑮
jiān,qiān 鑯
yào,yuè 鑰
chán 鑱
xiāng,ráng 鑲
jiàn 鑳
xī,huī 鑴
guàn 鑵
cáng 鑶
niè 鑷
lěi 鑸
cuān,cuàn 鑹
qú 鑺
pàn 鑻
luó 鑼
zuān,zuàn 鑽
luán 鑾
záo,zuò,zú,zào 鑿
niè,yǐ 钀
jué 钁
tǎng 钂
zhú 钃
lán 钄
jīn 钅
gá 钆
yǐ 钇
zhēn 针
dīng,dìng 钉
zhāo 钊
pō 钋
liǎo,liào 钌
tǔ 钍
qiān 钎
chuàn 钏
shān,shàn 钐
sà 钑
fán 钒
diào 钓
mén 钔
nǚ 钕
yáng 钖
chāi 钗
xíng 钘
gài 钙
bù 钚
tài 钛
jù 钜
dùn 钝
chāo 钞
zhōng 钟
nà 钠
bèi 钡
gāng,gàng 钢
bǎn 钣
qián 钤
yào,yuè 钥
qīn 钦
jūn 钧
wū 钨
gōu 钩
kàng 钪
fāng 钫
huǒ 钬
tǒu,dǒu 钭
niǔ 钮
bǎ,pá 钯
yù 钰
qián 钱
zhēng 钲
qián 钳
gǔ 钴
bō 钵
kē 钶
pǒ 钷
bū 钸
bó 钹
yuè 钺
zuān,zuàn 钻
mù 钼
tǎn 钽
jiǎ 钾
diàn,tián 钿
yóu 铀
tiě 铁
bó 铂
líng 铃
shuò 铄
qiān,yán 铅
mǎo 铆
bào 铇
shì 铈
xuàn 铉
tā,tuó 铊
bì 铋
ní 铌
pī,pí 铍
duó 铎
xíng 铏
kào 铐
lǎo 铑
ěr 铒
máng 铓
yā 铔
yǒu 铕
chéng 铖
jiá 铗
yé 铘
náo 铙
zhì 铚
dāng,chēng 铛
tóng 铜
lǚ 铝
diào 铞
yīn 铟
kǎi 铠
zhá 铡
zhū 铢
xǐ,xiǎn 铣
dìng,tǐng 铤
diū 铥
xiān 铦
huá 铧
quán 铨
shā 铩
hā 铪
diào,yáo 铫
gè 铬
míng 铭
zhēng,zhèng 铮
sè 铯
jiǎo 铰
yī 铱
chǎn 铲
chòng 铳
tāng 铴
ǎn 铵
yín 银
rú 铷
zhù 铸
láo 铹
pù,pū 铺
wú,yǔ 铻
lái 铼
tè 铽
liàn 链
kēng 铿
xiāo 销
suǒ 锁
lǐ 锂
zèng 锃
chú 锄
guō 锅
gào 锆
é 锇
xiù 锈
cuò 锉
lüè 锊
fēng 锋
xīn 锌
liǔ 锍
kāi 锎
jiǎn,jiàn 锏
ruì 锐
tī 锑
láng 锒
qǐn 锓
jū,jú 锔
ā 锕
qiāng 锖
zhě 锗
nuò 锘
cuò 错
máo 锚
bēn 锛
qí 锜
dé 锝
kè 锞
kūn 锟
chāng 锠
xī 锡
gù 锢
luó 锣
chuí 锤
zhuī 锥
jǐn 锦
zhì 锧
xiān 锨
juǎn 锩
huō 锪
péi 锫
tán,xiān 锬
dìng 锭
jiàn 键
jù,jū 锯
měng 锰
zī 锱
qiè 锲
yīng 锳
kǎi 锴
qiāng 锵
sī 锶
è 锷
chā 锸
qiāo 锹
zhōng 锺
duàn 锻
sōu 锼
huáng 锽
huán 锾
āi 锿
dù 镀
měi 镁
lòu 镂
zī 镃
fèi 镄
méi 镅
mò 镆
zhèn 镇
bó 镈
gé 镉
niè 镊
tǎng 镋
juān 镌
niè 镍
ná 镎
liú,liù 镏
gǎo,hào 镐
bàng 镑
yì 镒
jiā 镓
bīn 镔
róng 镕
biāo 镖
tāng,táng 镗
màn 镘
luó 镙
bèng 镚
yōng 镛
jìng 镜
dī,dí 镝
zú 镞
xuàn 镟
liú 镠
chán,tán,xín 镡
jué 镢
liào 镣
pú 镤
lǔ 镥
duì,dūn 镦
lán 镧
pǔ 镨
cuān 镩
qiāng,qiǎng 镪
dèng 镫
huò 镬
léi 镭
huán 镮
zhuó 镯
lián 镰
yì 镱
chǎ 镲
biāo 镳
là 镴
chán 镵
xiāng 镶
zhǎng,cháng,zhàng 長
cháng 镸
jiǔ 镹
ǎo 镺
dié 镻
qū 镼
liǎo,liáo 镽
mí 镾
zhǎng,cháng 长
mén 門
mà 閁
shuān 閂
shǎn 閃
huò,shǎn 閄
